,,,,,,,,Play,Play,Play,Play,Play,Play,Perf,Perf,Perf,Perf,Perf,Perf,Perf,Expe,Expe,Expe,Expe,Expe,Expe,Expe,Expe,Expe,Expe,Stan,Stan,Stan,Stan,Stan,Stan,Stan,,-additional
Rk,Player,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Pos,-9999
1,Dara O'Shea,512,2024-2025,25,ie IRL,Ipswich Town,eng Premier League,6,512,5.7,6,0,1,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0.0,0.3,-0.3,-0.3,0.0,0.05,6,0.00,0.00,1,16.7,9.4,0,DF,1d042188
2,Yerson Mosquera,441,2024-2025,23,co COL,Wolves,eng Premier League,5,441,4.9,5,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.0,0.4,-0.3,-0.3,-0.1,0.17,2,0.00,,0,0.0,12.4,0,DF,1e159d70
3,Jacob Greaves,630,2024-2025,23,eng ENG,Ipswich Town,eng Premier League,7,630,7.0,7,0,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0.0,0.4,-0.4,-0.4,0.0,0.08,5,0.00,0.00,2,40.0,9.6,0,DF,1f169636
4,Adam Smith,434,2024-2025,33,eng ENG,Bournemouth,eng Premier League,9,434,4.8,4,5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,-0.1,,0,,,0,,,0,DF,20b104bc
5,Caleb Okoli,628,2024-2025,23,it ITA,Leicester City,eng Premier League,7,628,7.0,7,0,2,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,0.1,-0.1,-0.1,0.0,0.05,3,0.00,0.00,1,33.3,16.4,0,DF,8ec109e6
6,Michael Keane,720,2024-2025,31,eng ENG,Everton,eng Premier League,8,720,8.0,8,0,1,2,0,2,2,0,0,0,0.3,0.3,0.1,0.4,0.0,0.4,+1.7,+1.7,-0.1,0.05,7,0.29,1.00,2,28.6,15.6,0,DF,c5b7c315
7,Matthijs de Ligt,581,2024-2025,24,nl NED,Manchester Utd,eng Premier League,9,581,6.5,6,3,0,1,0,1,1,0,0,0,1.1,1.1,0.1,1.2,0.0,1.2,-0.1,-0.1,-0.1,0.19,6,0.17,0.20,5,83.3,5.8,0,DF,d6e53a3a
8,Cameron Archer,437,2024-2025,23,eng ENG,Southampton,eng Premier League,9,437,4.9,4,5,0,2,0,2,2,0,1,1,3.5,2.7,0.0,3.5,0.1,2.7,-1.5,-0.7,0.0,0.21,13,0.15,0.33,6,46.2,11.8,0,FW,05e8ca6d
9,Axel Tuanzebe,512,2024-2025,26,cd COD,Ipswich Town,eng Premier League,6,512,5.7,6,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.1,0.4,-0.2,-0.2,-0.2,0.06,3,0.00,,0,0.0,11.5,0,DF,2baec6ce
10,Guido Rodríguez,688,2024-2025,30,ar ARG,West Ham,eng Premier League,9,688,7.6,9,0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.1,0.1,-0.1,-0.1,0.0,0.01,5,0.00,,0,0.0,31.6,0,MF,34e393f2
11,Ben White,585,2024-2025,26,eng ENG,Arsenal,eng Premier League,7,585,6.5,6,1,0,0,1,1,0,0,0,0,0.1,0.1,0.2,0.3,0.1,0.3,-0.1,-0.1,+0.8,0.04,3,0.00,0.00,1,33.3,21.9,0,DF,35e413f1
12,Craig Dawson,571,2024-2025,34,eng ENG,Wolves,eng Premier League,8,571,6.3,6,2,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0.1,0.5,-0.5,-0.5,0.0,0.11,4,0.00,0.00,1,25.0,8.7,0,DF,3e9e06cb
13,Taylor Harwood-Bellis,680,2024-2025,22,eng ENG,Southampton,eng Premier League,9,680,7.6,8,1,0,1,0,1,1,0,0,0,0.7,0.7,0.4,1.1,0.1,1.1,+0.3,+0.3,-0.4,0.12,6,0.17,0.33,3,50.0,8.4,0,DF,47327321
14,Kevin Schade,461,2024-2025,22,de GER,Brentford,eng Premier League,9,461,5.1,5,4,0,0,0,0,0,0,0,0,1.2,1.2,0.1,1.3,0.1,1.3,-1.2,-1.2,-0.1,0.15,8,0.00,0.00,4,50.0,11.7,0,FWMF,52afb588
15,Pau Torres,810,2024-2025,27,es ESP,Aston Villa,eng Premier League,9,810,9.0,9,0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0.1,0.2,-0.2,-0.2,0.0,0.06,3,0.00,0.00,1,33.3,14.3,0,DF,532e1e4f
16,Ibrahima Konaté,749,2024-2025,25,fr FRA,Liverpool,eng Premier League,9,749,8.3,8,1,0,1,1,2,1,0,0,0,0.4,0.4,0.2,0.6,0.1,0.6,+0.6,+0.6,+0.8,0.08,5,0.20,0.50,2,40.0,9.7,0,DF,5ed9b537
17,Jack Stephens,438,2024-2025,30,eng ENG,Southampton,eng Premier League,5,438,4.9,5,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,0.1,0.4,-0.2,-0.2,-0.1,0.23,1,0.00,,0,0.0,3.6,0,DF,6adbc307
18,Illia Zabarnyi,810,2024-2025,21,ua UKR,Bournemouth,eng Premier League,9,810,9.0,9,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.1,0.4,-0.3,-0.3,-0.1,0.15,2,0.00,,0,0.0,7.8,0,DF,88968486
19,João Gomes,747,2024-2025,23,br BRA,Wolves,eng Premier League,9,747,8.3,9,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.1,0.3,-0.2,-0.2,-0.1,0.04,5,0.00,,0,0.0,21.9,0,MF,8b57ad2c
20,William Saliba,659,2024-2025,23,fr FRA,Arsenal,eng Premier League,8,659,7.3,8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,,0,,,0,,,0,DF,972aeb2a
21,Calvin Bassey,810,2024-2025,24,ng NGA,Fulham,eng Premier League,9,810,9.0,9,0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0.1,0.2,-0.2,-0.2,0.0,0.05,4,0.00,,0,0.0,19.5,0,DF,a36524bf
22,Kristoffer Ajer,636,2024-2025,26,no NOR,Brentford,eng Premier League,8,636,7.1,8,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.1,0.5,-0.3,-0.3,-0.2,0.28,1,0.00,0.00,1,100.0,6.2,0,DF,a8c0acb7
23,Valentino Livramento,530,2024-2025,21,eng ENG,Newcastle Utd,eng Premier League,9,530,5.9,6,3,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0.1,0.2,0.0,0.0,-0.2,,0,,,0,,,0,DF,afed6722
24,Nikola Milenković,720,2024-2025,26,rs SRB,Nott'ham Forest,eng Premier League,8,720,8.0,8,0,0,0,1,1,0,0,0,0,1.2,1.2,0.2,1.4,0.1,1.4,-1.2,-1.2,+0.8,0.24,5,0.00,,0,0.0,20.4,0,DF,bee704fc
25,Max Kilman,810,2024-2025,27,eng ENG,West Ham,eng Premier League,9,810,9.0,9,0,0,0,1,1,0,0,0,0,0.7,0.7,0.3,0.9,0.1,0.9,-0.7,-0.7,+0.7,0.16,4,0.00,,0,0.0,7.4,0,DF,d0f72bf1
26,Jordan Ayew,426,2024-2025,32,gh GHA,2 Teams,eng Premier League,9,426,4.7,4,5,0,1,0,1,1,0,0,0,0.9,0.9,0.1,0.5,0.1,1.0,+0.1,+0.1,-0.1,0.11,8,0.13,0.50,2,25.0,17.8,1,FWMF,da052c14
27,Liam Delap,632,2024-2025,21,eng ENG,Ipswich Town,eng Premier League,9,632,7.0,8,1,0,5,0,5,5,0,0,0,1.5,1.5,0.3,1.8,0.1,1.8,+3.5,+3.5,-0.3,0.09,16,0.31,0.63,8,50.0,16.3,0,FW,dd897ee7
28,Christian Nørgaard,603,2024-2025,30,dk DEN,Brentford,eng Premier League,7,603,6.7,7,0,0,1,0,1,1,0,0,0,1.2,1.2,0.2,1.4,0.1,1.4,-0.2,-0.2,-0.2,0.11,11,0.09,0.33,3,27.3,17.3,0,MF,df0a4c90
29,Joachim Andersen,513,2024-2025,28,dk DEN,2 Teams,eng Premier League,6,513,5.7,6,0,1,0,0,0,0,0,0,0,0.2,0.2,0.2,0.0,0.1,0.4,-0.2,-0.2,-0.2,0.03,6,0.00,0.00,2,33.3,18.8,0,DF,e34fc66d
30,Abdoulaye Doucouré,565,2024-2025,31,ml MLI,Everton,eng Premier League,8,565,6.3,7,1,1,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,0.2,0.6,-0.3,-0.3,-0.3,0.07,4,0.00,0.00,1,25.0,14.9,0,MF,02b29014
31,Ezri Konsa,641,2024-2025,26,eng ENG,Aston Villa,eng Premier League,8,641,7.1,8,0,1,1,0,1,1,0,0,0,0.4,0.4,0.1,0.5,0.2,0.5,+0.6,+0.6,-0.1,0.12,3,0.33,0.50,2,66.7,9.7,0,DF,0313a347
32,Wesley Fofana,686,2024-2025,23,fr FRA,Chelsea,eng Premier League,8,686,7.6,8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,0.2,0.4,0.0,0.0,-0.4,0.04,1,0.00,,0,0.0,14.6,0,DF,132a82f1
33,Daichi Kamada,455,2024-2025,27,jp JPN,Crystal Palace,eng Premier League,9,455,5.1,5,4,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,0.2,0.6,-0.4,-0.4,-0.2,0.07,6,0.00,0.00,2,33.3,19.7,0,MF,15b287da
34,Álex Moreno,436,2024-2025,31,es ESP,Nott'ham Forest,eng Premier League,6,436,4.8,6,0,1,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.2,0.3,-0.1,-0.1,-0.2,0.03,4,0.00,,0,0.0,28.1,0,DF,16e9d0ea
35,Jurriën Timber,523,2024-2025,23,nl NED,Arsenal,eng Premier League,7,523,5.8,6,1,0,0,1,1,0,0,0,0,0.3,0.3,0.5,0.8,0.2,0.8,-0.3,-0.3,+0.5,0.07,4,0.00,,0,0.0,15.9,0,DF,41034650
36,Jamie Vardy,753,2024-2025,37,eng ENG,Leicester City,eng Premier League,9,753,8.4,9,0,0,4,0,4,3,1,1,0,3.5,2.7,0.3,3.8,0.2,3.0,+0.5,+0.3,-0.3,0.27,10,0.30,0.75,4,40.0,14.4,0,FW,45963054
37,Chris Wood,721,2024-2025,32,nz NZL,Nott'ham Forest,eng Premier League,9,721,8.0,9,0,0,7,0,7,6,1,1,0,3.7,2.9,0.9,4.6,0.2,3.8,+3.3,+3.1,-0.9,0.16,18,0.33,0.50,12,66.7,13.5,0,FW,4e9a0555
38,Kalvin Phillips,461,2024-2025,28,eng ENG,Ipswich Town,eng Premier League,6,461,5.1,6,0,1,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.2,0.3,-0.2,-0.2,-0.1,0.06,3,0.00,0.00,1,33.3,26.4,1,MF,4f565d77
39,Jan Paul van Hecke,549,2024-2025,24,nl NED,Brighton,eng Premier League,7,549,6.1,6,1,0,0,1,1,0,0,0,0,0.1,0.1,0.2,0.2,0.2,0.2,-0.1,-0.1,+0.8,0.03,2,0.00,,0,0.0,20.4,0,DF,4fd08daa
40,Oliver Skipp,401,2024-2025,23,eng ENG,Leicester City,eng Premier League,6,401,4.5,5,1,2,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.2,0.1,0.0,0.0,-0.1,0.05,1,0.00,0.00,1,100.0,23.0,0,MF,6250083a
41,Gabriel Magalhães,773,2024-2025,26,br BRA,Arsenal,eng Premier League,9,773,8.6,9,0,0,2,0,2,2,0,0,0,1.4,1.4,0.3,1.7,0.2,1.7,+0.6,+0.6,-0.3,0.12,12,0.17,0.50,4,33.3,8.5,0,DF,67ac5bb8
42,Idrissa Gana Gueye,554,2024-2025,34,sn SEN,Everton,eng Premier League,8,554,6.2,6,2,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,0.2,0.6,-0.6,-0.6,0.0,0.08,7,0.00,0.00,1,14.3,21.8,0,MF,72c812f3
43,Kenny Tete,796,2024-2025,28,nl NED,Fulham,eng Premier League,9,796,8.8,9,0,0,0,0,0,0,0,0,0,0.8,0.8,0.3,1.1,0.2,1.1,-0.8,-0.8,-0.3,0.06,13,0.00,0.00,1,7.7,14.9,0,DF,77d7c96f
44,Amadou Onana,540,2024-2025,22,be BEL,Aston Villa,eng Premier League,8,540,6.0,8,0,0,2,0,2,2,0,0,0,1.3,1.3,0.1,1.4,0.2,1.4,+0.7,+0.7,-0.1,0.16,8,0.25,0.67,3,37.5,10.9,0,MF,828657ff
45,Wout Faes,810,2024-2025,26,be BEL,Leicester City,eng Premier League,9,810,9.0,9,0,0,1,0,1,1,0,0,0,0.8,0.8,0.0,0.8,0.2,0.8,+0.2,+0.2,0.0,0.17,5,0.20,1.00,1,20.0,8.8,0,DF,9c221d14
46,Carlos Baleba,572,2024-2025,20,cm CMR,Brighton,eng Premier League,8,572,6.4,7,1,1,1,1,2,1,0,0,0,0.8,0.8,0.3,1.1,0.2,1.1,+0.2,+0.2,+0.7,0.06,15,0.07,0.20,5,33.3,24.2,0,MF,a1390d2f
47,Dan Burn,810,2024-2025,32,eng ENG,Newcastle Utd,eng Premier League,9,810,9.0,9,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.6,0.2,0.6,-0.4,-0.4,-0.1,0.06,7,0.00,0.00,2,28.6,11.9,0,DF,b2d31e83
48,Saša Lukić,547,2024-2025,27,rs SRB,Fulham,eng Premier League,7,547,6.1,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0.2,0.3,0.0,0.0,-0.3,,0,,,0,,,0,MF,c6e8cf1f
49,Marc Guéhi,810,2024-2025,24,eng ENG,Crystal Palace,eng Premier League,9,810,9.0,9,0,0,1,0,1,1,0,0,0,0.3,0.3,0.0,0.4,0.2,0.4,+0.7,+0.7,0.0,0.17,2,0.50,0.50,2,100.0,5.7,0,DF,d0706b27
50,Virgil van Dijk,810,2024-2025,33,nl NED,Liverpool,eng Premier League,9,810,9.0,9,0,0,1,0,1,1,0,0,0,0.5,0.5,0.2,0.7,0.2,0.7,+0.5,+0.5,-0.2,0.08,6,0.17,0.50,2,33.3,17.9,1,DF,e06683ca
51,James Justin,810,2024-2025,26,eng ENG,Leicester City,eng Premier League,9,810,9.0,9,0,0,2,1,3,2,0,0,0,0.4,0.4,0.3,0.7,0.2,0.7,+1.6,+1.6,+0.7,0.05,8,0.25,1.00,2,25.0,14.6,0,DF,fb614c44
52,Konstantinos Mavropanos,560,2024-2025,26,gr GRE,West Ham,eng Premier League,8,560,6.2,6,2,1,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0.3,0.2,-0.2,-0.2,0.0,0.04,6,0.00,0.00,1,16.7,20.3,0,DF,00963611
53,Joshua Zirkzee,411,2024-2025,23,nl NED,Manchester Utd,eng Premier League,9,411,4.6,4,5,0,1,1,2,1,0,0,0,2.6,2.6,0.6,3.2,0.3,3.2,-1.6,-1.6,+0.4,0.24,11,0.09,0.17,6,54.5,11.5,0,FW,028e70b9
54,Milos Kerkez,747,2024-2025,20,hu HUN,Bournemouth,eng Premier League,9,747,8.3,9,0,0,0,0,0,0,0,0,0,0.2,0.1,0.3,0.4,0.3,0.4,-0.2,-0.1,-0.3,0.02,7,0.00,,0,0.0,24.4,0,DF,0ad53bdc
55,Jean-Ricner Bellegarde,403,2024-2025,26,fr FRA,Wolves,eng Premier League,8,403,4.5,6,2,1,1,1,2,1,0,0,0,0.3,0.3,0.3,0.6,0.3,0.6,+0.7,+0.7,+0.7,0.06,5,0.20,0.50,2,40.0,21.8,1,MFFW,10f0fdd3
56,Diogo Jota,492,2024-2025,27,pt POR,Liverpool,eng Premier League,7,492,5.5,7,0,1,2,2,4,2,0,0,0,2.7,2.7,0.8,3.5,0.3,3.5,-0.7,-0.7,+1.2,0.19,14,0.14,0.67,3,21.4,11.7,0,FW,178ae8f8
57,Yoane Wissa,404,2024-2025,27,cd COD,Brentford,eng Premier League,6,404,4.5,5,1,0,5,1,6,5,0,0,0,3.9,3.9,0.3,4.2,0.3,4.2,+1.1,+1.1,+0.7,0.30,13,0.38,0.71,7,53.8,11.6,0,FW,2500cef9
58,Ryan Christie,563,2024-2025,29,sct SCO,Bournemouth,eng Premier League,9,563,6.3,7,2,0,1,0,1,1,0,0,0,0.4,0.4,0.3,0.7,0.3,0.7,+0.6,+0.6,-0.3,0.06,6,0.17,0.50,2,33.3,20.9,0,MF,26ce2263
59,Lewis Dunk,705,2024-2025,32,eng ENG,Brighton,eng Premier League,8,705,7.8,8,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.7,0.3,0.7,-0.2,-0.2,-0.4,0.08,3,0.00,,0,0.0,15.2,1,DF,282f75f3
60,Vitaliy Mykolenko,565,2024-2025,25,ua UKR,Everton,eng Premier League,7,565,6.3,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0.3,0.2,0.0,0.0,-0.2,0.02,1,0.00,,0,0.0,32.3,0,DF,30d4a2e5
61,Jean-Philippe Mateta,574,2024-2025,27,fr FRA,Crystal Palace,eng Premier League,9,574,6.4,7,2,0,3,0,3,2,1,1,0,1.9,1.1,0.7,2.6,0.3,1.8,+1.1,+0.9,-0.7,0.12,9,0.22,0.67,3,33.3,13.9,0,FW,50e6dc35
62,Sepp van den Berg,552,2024-2025,22,nl NED,Brentford,eng Premier League,7,552,6.1,6,1,1,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0.3,0.5,-0.4,-0.4,-0.1,0.08,5,0.00,0.00,3,60.0,11.2,0,DF,7bf9400b
63,Nicolas Jackson,689,2024-2025,23,sn SEN,Chelsea,eng Premier League,9,689,7.7,9,0,0,6,3,9,6,0,0,0,6.0,6.0,1.1,7.2,0.3,7.2,0.0,0.0,+1.9,0.27,22,0.27,0.50,12,54.5,11.5,0,FW,9c36ed83
64,Eddie Nketiah,406,2024-2025,25,eng ENG,2 Teams,eng Premier League,6,406,4.5,5,1,2,0,0,0,0,0,0,0,0.8,0.8,0.4,,0.3,1.2,-0.8,-0.8,-0.4,0.05,15,0.00,0.00,5,33.3,17.1,0,FW,a53649b7
65,Nathan Collins,810,2024-2025,23,ie IRL,Brentford,eng Premier League,9,810,9.0,9,0,0,1,0,1,1,0,0,0,1.8,1.8,0.2,1.9,0.3,1.9,-0.8,-0.8,-0.2,0.20,9,0.11,0.25,4,44.4,8.5,0,DF,a8c19eb8
