,,,,,,,,Play,Play,Play,Play,Play,Play,Perf,Perf,Perf,Perf,Perf,Perf,Perf,Expe,Expe,Expe,Expe,Expe,Expe,Expe,Expe,Expe,Expe,Stan,Stan,Stan,Stan,Stan,Stan,Stan,,-additional
66,Lisandro Martínez,706,2024-2025,26,ar ARG,Manchester Utd,eng Premier League,8,706,7.8,8,0,1,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,0.3,0.9,-0.8,-0.8,-0.1,0.12,7,0.00,0.00,3,42.9,15.9,0,DF,bac46a10
67,Ryan Yates,629,2024-2025,26,eng ENG,Nott'ham Forest,eng Premier League,9,629,7.0,5,4,0,1,0,1,1,0,0,0,1.2,1.2,0.7,1.8,0.3,1.8,-0.2,-0.2,-0.7,0.08,14,0.07,0.25,4,28.6,18.9,0,MF,c1fe2a48
68,Danny Welbeck,749,2024-2025,33,eng ENG,Brighton,eng Premier League,9,749,8.3,9,0,0,6,1,7,6,0,0,0,4.5,4.5,0.4,4.9,0.3,4.9,+1.5,+1.5,+0.6,0.18,25,0.24,0.55,11,44.0,14.4,3,FW,ce5143da
69,Malo Gusto,600,2024-2025,21,fr FRA,Chelsea,eng Premier League,7,600,6.7,7,0,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,0.3,0.6,-0.5,-0.5,-0.1,0.05,10,0.00,0.00,1,10.0,22.2,0,DF,d56b9520
70,Toti Gomes,585,2024-2025,25,pt POR,Wolves,eng Premier League,7,585,6.5,7,0,0,0,1,1,0,0,0,0,0.0,0.0,0.5,0.5,0.3,0.5,0.0,0.0,+0.5,0.01,1,0.00,,0,0.0,35.4,0,DF,f0caab96
71,James Tarkowski,810,2024-2025,31,eng ENG,Everton,eng Premier League,9,810,9.0,9,0,0,0,0,0,0,0,0,0,0.6,0.6,0.5,1.1,0.4,1.1,-0.6,-0.6,-0.5,0.10,6,0.00,,0,0.0,6.8,0,DF,15ea812b
72,Murillo,810,2024-2025,22,br BRA,Nott'ham Forest,eng Premier League,9,810,9.0,9,0,0,0,0,0,0,0,0,0,0.2,0.2,0.8,1.0,0.4,1.0,-0.2,-0.2,-0.8,0.05,5,0.00,0.00,2,40.0,18.8,1,DF,1704b0b8
73,Erling Haaland,809,2024-2025,24,no NOR,Manchester City,eng Premier League,9,809,9.0,9,0,0,11,0,11,10,1,1,0,8.8,8.0,0.5,9.3,0.4,8.5,+2.2,+2.0,-0.5,0.19,42,0.24,0.40,25,59.5,12.2,1,FW,1f44ac21
74,Maxence Lacroix,540,2024-2025,24,fr FRA,Crystal Palace,eng Premier League,6,540,6.0,6,0,0,0,1,1,0,0,0,0,0.2,0.2,0.3,0.5,0.4,0.5,-0.2,-0.2,+0.7,0.08,3,0.00,,0,0.0,9.3,0,DF,277c49ed
75,Marcos Senesi,616,2024-2025,27,ar ARG,Bournemouth,eng Premier League,7,616,6.8,7,0,1,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.4,0.4,-0.1,-0.1,-0.3,0.12,1,0.00,,0,0.0,9.5,0,DF,35141f4c
76,Leandro Trossard,490,2024-2025,29,be BEL,Arsenal,eng Premier League,9,490,5.4,6,3,0,2,0,2,2,0,0,0,1.5,1.5,0.7,2.2,0.4,2.2,+0.5,+0.5,-0.7,0.15,10,0.20,0.50,4,40.0,16.6,0,FW,38ceb24a
77,Victor Bernth Kristiansen,682,2024-2025,21,dk DEN,Leicester City,eng Premier League,8,682,7.6,8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0.4,0.3,0.0,0.0,-0.3,,0,,,0,,,0,DF,505486d6
78,Thomas Partey,797,2024-2025,31,gh GHA,Arsenal,eng Premier League,9,797,8.9,9,0,0,1,0,1,1,0,0,0,0.3,0.3,0.2,0.5,0.4,0.5,+0.7,+0.7,-0.2,0.05,6,0.17,0.50,2,33.3,22.9,0,MFDF,529f49ab
79,Iliman Ndiaye,655,2024-2025,24,sn SEN,Everton,eng Premier League,9,655,7.3,7,2,0,2,0,2,2,0,0,0,0.8,0.8,0.4,1.2,0.4,1.2,+1.2,+1.2,-0.4,0.10,8,0.25,0.40,5,62.5,14.3,0,FW,5ed97752
80,Kyle Walker-Peters,620,2024-2025,27,eng ENG,Southampton,eng Premier League,7,620,6.9,7,0,2,0,1,1,0,0,0,0,0.2,0.2,0.7,0.9,0.4,0.9,-0.2,-0.2,+0.3,0.03,7,0.00,0.00,3,42.9,20.0,0,DF,984a5a64
81,Jefferson Lerma,415,2024-2025,29,co COL,Crystal Palace,eng Premier League,7,415,4.6,5,2,1,0,0,0,0,0,0,0,0.1,0.1,0.8,0.9,0.4,0.9,-0.1,-0.1,-0.8,0.02,5,0.00,,0,0.0,24.7,0,MFDF,9b5ce51a
82,Rico Lewis,664,2024-2025,19,eng ENG,Manchester City,eng Premier League,8,664,7.4,8,0,1,0,2,2,0,0,0,0,0.7,0.7,0.2,0.9,0.4,0.9,-0.7,-0.7,+1.8,0.18,4,0.00,,0,0.0,14.9,0,MFDF,b57e066e
83,Omari Hutchinson,704,2024-2025,20,eng ENG,Ipswich Town,eng Premier League,8,704,7.8,8,0,0,0,1,1,0,0,0,0,0.5,0.5,0.9,1.4,0.4,1.4,-0.5,-0.5,+0.1,0.05,10,0.00,0.00,4,40.0,21.2,1,MFFW,bd9553e6
84,Nélson Semedo,600,2024-2025,30,pt POR,Wolves,eng Premier League,7,600,6.7,7,0,0,0,2,2,0,0,0,0,0.3,0.3,1.0,1.3,0.4,1.3,-0.3,-0.3,+1.0,0.06,5,0.00,0.00,3,60.0,22.4,0,DF,d04b94db
85,Ethan Pinnock,810,2024-2025,31,jm JAM,Brentford,eng Premier League,9,810,9.0,9,0,0,2,0,2,2,0,0,0,0.8,0.8,0.5,1.3,0.4,1.3,+1.2,+1.2,-0.5,0.11,8,0.25,0.33,6,75.0,10.9,0,DF,e541326e
86,Mateus Fernandes,528,2024-2025,20,pt POR,Southampton,eng Premier League,8,528,5.9,6,2,0,0,1,1,0,0,0,0,0.4,0.4,0.8,1.3,0.4,1.3,-0.4,-0.4,+0.2,0.11,4,0.00,0.00,1,25.0,9.9,0,MF,ef491564
87,Dominic Calvert-Lewin,763,2024-2025,27,eng ENG,Everton,eng Premier League,9,763,8.5,9,0,0,2,1,3,2,0,0,0,3.5,3.5,0.3,3.7,0.5,3.7,-1.5,-1.5,+0.7,0.16,21,0.10,0.22,9,42.9,11.6,0,FW,59e6e5bf
88,Tomáš Souček,564,2024-2025,29,cz CZE,West Ham,eng Premier League,9,564,6.3,6,3,0,2,0,2,2,0,0,0,2.0,2.0,0.4,2.4,0.5,2.4,0.0,0.0,-0.4,0.13,17,0.12,0.67,3,17.6,11.1,0,MF,6613c819
89,Levi Colwill,809,2024-2025,21,eng ENG,Chelsea,eng Premier League,9,809,9.0,9,0,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0.8,0.5,0.8,-0.2,-0.2,-0.6,0.08,2,0.00,0.00,1,50.0,7.4,0,DF,700783e7
90,Alejandro Garnacho,591,2024-2025,20,ar ARG,Manchester Utd,eng Premier League,9,591,6.6,6,3,0,2,1,3,2,0,0,0,3.0,3.0,1.1,4.1,0.5,4.1,-1.0,-1.0,-0.1,0.12,25,0.08,0.22,9,36.0,16.6,0,FW,7aa8adfe
91,Rayan Aït-Nouri,743,2024-2025,23,dz ALG,Wolves,eng Premier League,9,743,8.3,9,0,0,3,2,5,3,0,0,0,1.0,1.0,1.0,2.1,0.5,2.1,+2.0,+2.0,+1.0,0.11,10,0.30,0.75,4,40.0,14.0,0,DF,9b398aea
92,Kobbie Mainoo,571,2024-2025,19,eng ENG,Manchester Utd,eng Premier League,7,571,6.3,7,0,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.8,0.5,0.8,-0.1,-0.1,-0.7,0.03,4,0.00,,0,0.0,26.6,0,MF,c6220452
93,Fabian Schär,567,2024-2025,32,ch SUI,Newcastle Utd,eng Premier League,7,567,6.3,7,0,0,1,0,1,1,0,0,0,0.7,0.7,0.2,0.9,0.5,0.9,+0.3,+0.3,-0.2,0.08,9,0.11,1.00,1,11.1,19.0,2,DF,c8aa95da
94,Jørgen Strand Larsen,732,2024-2025,24,no NOR,Wolves,eng Premier League,9,732,8.1,9,0,0,3,1,4,3,0,0,0,1.9,1.9,0.8,2.7,0.5,2.7,+1.1,+1.1,+0.2,0.16,12,0.25,0.38,8,66.7,11.5,0,FW,f553b2b3
95,Brennan Johnson,693,2024-2025,23,wls WAL,Tottenham,eng Premier League,9,693,7.7,8,1,0,3,0,3,3,0,0,0,4.0,4.0,0.7,4.7,0.6,4.7,-1.0,-1.0,-0.7,0.14,29,0.10,0.38,8,27.6,12.5,0,FW,0cd31129
96,Joe Aribo,482,2024-2025,28,ng NGA,Southampton,eng Premier League,8,482,5.4,5,3,1,1,0,1,1,0,0,0,1.2,1.2,0.7,1.9,0.6,1.9,-0.2,-0.2,-0.7,0.18,7,0.14,0.33,3,42.9,13.1,0,MF,328f7d51
97,Adam Wharton,622,2024-2025,20,eng ENG,Crystal Palace,eng Premier League,8,622,6.9,8,0,1,0,0,0,0,0,0,0,0.2,0.2,0.6,0.8,0.6,0.8,-0.2,-0.2,-0.6,0.03,9,0.00,0.00,5,55.6,25.6,0,MF,4b542852
98,Justin Kluivert,474,2024-2025,25,nl NED,Bournemouth,eng Premier League,9,474,5.3,6,3,0,1,2,3,0,1,1,0,1.6,0.8,0.9,2.5,0.6,1.7,-0.6,-0.8,+1.1,0.06,12,0.00,0.00,5,41.7,18.5,0,MFFW,4c3a6744
99,Evanilson,541,2024-2025,24,br BRA,Bournemouth,eng Premier League,8,541,6.0,7,1,0,2,0,2,2,0,1,1,2.5,1.8,0.6,3.2,0.6,2.4,-0.5,+0.2,-0.6,0.12,15,0.13,0.40,5,33.3,16.4,0,FW,6f3cc2fe
100,Daniel Muñoz,726,2024-2025,28,co COL,Crystal Palace,eng Premier League,9,726,8.1,9,0,0,0,0,0,0,0,0,0,0.4,0.4,0.7,1.1,0.6,1.1,-0.4,-0.4,-0.7,0.07,6,0.00,0.00,1,16.7,14.7,0,DFMF,778ef829
101,Alexander Isak,585,2024-2025,24,se SWE,Newcastle Utd,eng Premier League,7,585,6.5,7,0,0,2,1,3,2,0,0,0,3.5,3.5,0.9,4.4,0.6,4.4,-1.5,-1.5,+0.1,0.17,21,0.10,0.29,7,33.3,14.2,1,FW,8e92be30
102,John McGinn,427,2024-2025,29,sct SCO,Aston Villa,eng Premier League,7,427,4.7,6,1,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,0.6,0.7,-0.5,-0.5,-0.2,0.10,5,0.00,,0,0.0,17.3,0,MFFW,90f91999
103,Lucas Paquetá,631,2024-2025,26,br BRA,West Ham,eng Premier League,9,631,7.0,8,1,0,2,0,2,1,1,1,0,2.1,1.3,0.6,2.7,0.6,1.9,-0.1,-0.3,-0.6,0.12,11,0.09,0.50,2,18.2,21.6,1,MF,9b6f7fd5
104,Aaron Wan-Bissaka,659,2024-2025,26,eng ENG,West Ham,eng Premier League,8,659,7.3,7,1,1,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.6,0.4,-0.1,-0.1,-0.3,0.03,3,0.00,0.00,1,33.3,21.5,0,DF,9e525177
105,Sam Morsy,713,2024-2025,32,eg EGY,Ipswich Town,eng Premier League,8,713,7.9,8,0,0,1,0,1,1,0,0,0,0.2,0.2,0.2,0.4,0.6,0.4,+0.8,+0.8,-0.2,0.04,5,0.20,1.00,1,20.0,24.0,0,MF,a23c0949
106,Cristian Romero,810,2024-2025,26,ar ARG,Tottenham,eng Premier League,9,810,9.0,9,0,0,1,0,1,1,0,0,0,1.0,1.0,0.4,1.4,0.6,1.4,0.0,0.0,-0.4,0.10,10,0.10,0.25,4,40.0,9.4,0,DF,a3d94a58
107,Ollie Watkins,685,2024-2025,28,eng ENG,Aston Villa,eng Premier League,9,685,7.6,9,0,0,5,2,7,5,0,0,0,4.3,4.3,1.0,5.3,0.6,5.3,+0.7,+0.7,+1.0,0.21,21,0.24,0.45,11,52.4,9.8,0,FW,aed3a70f
108,Tyler Dibling,493,2024-2025,18,eng ENG,Southampton,eng Premier League,9,493,5.5,6,3,0,1,0,1,1,0,0,0,0.9,0.9,0.8,1.7,0.6,1.7,+0.1,+0.1,-0.8,0.12,8,0.13,0.25,4,50.0,19.9,0,FWMF,bdcc89ae
109,Joelinton,746,2024-2025,27,br BRA,Newcastle Utd,eng Premier League,9,746,8.3,9,0,0,1,0,1,1,0,0,0,1.7,1.7,0.7,2.4,0.6,2.4,-0.7,-0.7,-0.7,0.11,15,0.07,0.25,4,26.7,12.3,0,MF,c17bfb65
110,Dominic Solanke,617,2024-2025,26,eng ENG,Tottenham,eng Premier League,7,617,6.9,7,0,0,2,1,3,2,0,0,0,3.6,3.6,0.8,4.3,0.6,4.3,-1.6,-1.6,+0.2,0.25,15,0.13,0.25,8,53.3,10.4,0,FW,e77dc3b2
111,Marc Cucurella,603,2024-2025,26,es ESP,Chelsea,eng Premier League,8,603,6.7,7,1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0.7,0.2,0.0,0.0,-0.2,,0,,,0,,,0,DF,1daec722
112,Ola Aina,773,2024-2025,27,ng NGA,Nott'ham Forest,eng Premier League,9,773,8.6,9,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.7,0.4,-0.1,-0.1,-0.3,0.02,3,0.00,,0,0.0,26.9,0,DF,246d153b
113,Antonee Robinson,810,2024-2025,26,us USA,Fulham,eng Premier League,9,810,9.0,9,0,0,0,2,2,0,0,0,0,0.2,0.2,0.6,0.8,0.7,0.8,-0.2,-0.2,+1.4,0.03,5,0.00,,0,0.0,22.6,0,DF,289601e6
114,Mario Lemina,764,2024-2025,30,ga GAB,Wolves,eng Premier League,9,764,8.5,9,0,0,1,1,2,1,0,0,0,1.0,1.0,0.3,1.3,0.7,1.3,0.0,0.0,+0.7,0.10,10,0.10,0.25,4,40.0,20.5,0,MF,2b471f99
115,Rúben Dias,727,2024-2025,27,pt POR,Manchester City,eng Premier League,9,727,8.1,8,1,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,0.7,0.7,-0.6,-0.6,-0.1,0.05,11,0.00,0.00,3,27.3,20.6,0,DF,31c69ef1
116,Jan Bednarek,800,2024-2025,28,pl POL,Southampton,eng Premier League,9,800,8.9,9,0,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,0.7,0.4,0.0,0.0,-0.4,,0,,,0,,,0,DF,4115ce4e
117,Enzo Fernández,568,2024-2025,23,ar ARG,Chelsea,eng Premier League,8,568,6.3,6,2,0,0,0,0,0,0,0,0,0.3,0.3,1.1,1.4,0.7,1.4,-0.3,-0.3,-1.1,0.07,4,0.00,0.00,2,50.0,13.7,0,MF,5ff4ab71
118,Destiny Udogie,744,2024-2025,21,it ITA,Tottenham,eng Premier League,9,744,8.3,9,0,0,0,1,1,0,0,0,0,0.3,0.3,1.0,1.3,0.7,1.3,-0.3,-0.3,0.0,0.06,5,0.00,0.00,1,20.0,15.1,0,DF,7cd520e8
119,Vitaly Janelt,723,2024-2025,26,de GER,Brentford,eng Premier League,9,723,8.0,9,0,0,0,2,2,0,0,0,0,0.2,0.2,1.0,1.1,0.7,1.1,-0.2,-0.2,+1.0,0.04,4,0.00,0.00,1,25.0,19.9,0,MF,8449d35e
120,Micky van de Ven,710,2024-2025,23,nl NED,Tottenham,eng Premier League,8,710,7.9,8,0,0,0,2,2,0,0,0,0,0.2,0.2,1.2,1.4,0.7,1.4,-0.2,-0.2,+0.8,0.06,4,0.00,0.00,1,25.0,11.4,0,DF,8fe2a392
121,Noussair Mazraoui,642,2024-2025,26,ma MAR,Manchester Utd,eng Premier League,9,642,7.1,8,1,0,0,1,1,0,0,0,0,0.2,0.2,0.1,0.4,0.7,0.4,-0.2,-0.2,+0.9,0.05,4,0.00,0.00,2,50.0,17.3,0,DF,b74277a0
122,Jack Hinshelwood,697,2024-2025,19,eng ENG,Brighton,eng Premier League,8,697,7.7,8,0,0,1,0,1,1,0,0,0,0.4,0.4,0.3,0.7,0.7,0.7,+0.6,+0.6,-0.3,0.07,6,0.17,0.50,2,33.3,16.1,0,DFMF,e98211e7
123,Kai Havertz,810,2024-2025,25,de GER,Arsenal,eng Premier League,9,810,9.0,9,0,0,4,1,5,4,0,0,0,4.5,4.5,1.0,5.5,0.7,5.5,-0.5,-0.5,0.0,0.16,28,0.14,0.40,10,35.7,12.1,0,FW,fed7cb61
124,Emile Smith Rowe,627,2024-2025,24,eng ENG,Fulham,eng Premier League,9,627,7.0,8,1,0,2,2,4,2,0,0,0,1.8,1.8,0.5,2.3,0.8,2.3,+0.2,+0.2,+1.5,0.13,14,0.14,1.00,2,14.3,15.4,0,MF,17695062
125,Anthony Elanga,498,2024-2025,22,se SWE,Nott'ham Forest,eng Premier League,9,498,5.5,6,3,0,0,1,1,0,0,0,0,0.6,0.6,0.6,1.2,0.8,1.2,-0.6,-0.6,+0.4,0.08,8,0.00,0.00,3,37.5,19.1,1,FW,2fba6108
126,Manuel Akanji,691,2024-2025,29,ch SUI,Manchester City,eng Premier League,8,691,7.7,8,0,1,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.8,0.4,-0.1,-0.1,-0.3,0.02,5,0.00,0.00,1,20.0,23.2,0,DF,89ac64a6
127,Dominik Szoboszlai,655,2024-2025,23,hu HUN,Liverpool,eng Premier League,9,655,7.3,7,2,0,0,1,1,0,0,0,0,1.5,1.5,1.1,2.5,0.8,2.5,-1.5,-1.5,-0.1,0.12,12,0.00,0.00,3,25.0,18.7,0,MF,934e1968
128,Jack Harrison,592,2024-2025,27,eng ENG,Everton,eng Premier League,9,592,6.6,7,2,0,0,0,0,0,0,0,0,0.9,0.9,1.5,2.4,0.8,2.4,-0.9,-0.9,-1.5,0.11,8,0.00,0.00,2,25.0,15.7,0,FW,aa849a12
129,Michail Antonio,558,2024-2025,34,jm JAM,West Ham,eng Premier League,9,558,6.2,8,1,0,1,1,2,1,0,0,0,1.9,1.9,1.6,3.4,0.8,3.4,-0.9,-0.9,-0.6,0.13,15,0.07,0.33,3,20.0,12.7,0,FW,ac05f970
130,Noni Madueke,618,2024-2025,22,eng ENG,Chelsea,eng Premier League,8,618,6.9,8,0,1,4,0,4,4,0,0,0,2.0,2.0,1.3,3.3,0.8,3.3,+2.0,+2.0,-1.3,0.08,25,0.16,0.33,12,48.0,15.5,0,FW,bf34eebd
131,Joël Veltman,701,2024-2025,32,nl NED,Brighton,eng Premier League,8,701,7.8,8,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,0.8,0.3,-0.1,-0.1,-0.3,0.03,2,0.00,,0,0.0,22.3,0,DF,dad4b285
132,Elliot Anderson,569,2024-2025,21,eng ENG,Nott'ham Forest,eng Premier League,9,569,6.3,8,1,0,0,2,2,0,0,0,0,0.8,0.8,1.2,1.9,0.8,1.9,-0.8,-0.8,+0.8,0.05,15,0.00,0.00,3,20.0,19.7,0,MFFW,de31038e
